name,position
Jordi Gallardo Fernàndez,"Ministre de Presidència, Economia i Empresa"
Eric Jover Comas,Ministre de Finances i Portaveu
Maria Ubach Font,Ministra d'Afers Exteriors
Josep Maria Rossell Pons,Ministre de Justícia i Interior
Jordi Torres Falcó,Ministre de Turisme i Telecomunicacions
Víctor Filloy Franco,Ministre de Territori i Habitatge
Judith Pallarés Cortés,Ministra d’Afers Socials Joventut i Igualtat
Sílvia Calvó Armengol,"Ministra de Medi Ambient, Agricultura i Sostenibilitat"
Joan Martínez Benazet,Ministre de Salut
Ester Vilarrubla Escales,Ministra d'Educació i Ensenyament Superior
Sílvia Riva González,Ministra de Cultura i Esports
Adscrit al cap de Govern,Ministeri d’Administracions Públiques i Participació Ciutadana
