item,itemLabel,position,positionLabel,start,psid
Q107981776,Víctor Filloy Franco,Q107981777,Minister of Territorial Management and Housing,2021-05-20,Q107981776-4E34EC67-A6E2-4B78-9139-8F271B0A53ED
Q107981779,Josep Maria Rossell Pons,Q63869694,Minister of Justice and the Interior,2019-05-22,Q107981779-2B0D3A8A-D133-45CD-B715-F62F8DBEEC1A
Q107981821,Jordi Torres Falcó,Q67187719,Minister of Tourism,2021-05-20,Q107981821-3B3253DF-3536-4113-AB56-394F1D7BE614
Q108500714,Trini Marín González,Q108500749,Minister of Public Administration and Citizen Participation,2021-07-12,Q108500714-4E5E0305-C42C-446E-A726-4AC0C1AF8D09
Q21001195,Xavier Espot Zamora,Q634322,Prime Minister of Andorra,2019-05-16,Q21001195-38137e99-4687-b880-174c-2ccc71d741f8
Q21012236,Sílvia Riva González,Q64165272,minister of Culture and Sport,2019-05-30,Q21012236-b8263fe9-4c0e-5582-eb73-53e724ba54f6
Q55955802,Maria Ubach,Q4294893,minister of Foreign Affairs,2017-07-17,Q55955802-2759c1af-44e6-a26a-ba2e-b5dbc146b012
Q56403525,Jordi Gallardo Fernández,Q63985662,"Minister of the Presidency, Economy and Business",2019-05-21,Q56403525-0bc79833-4bd9-913a-dd3b-b568edec98b5
Q56403529,Judith Pallarés Cortés,Q108500927,"Minister of Social Affairs, Youth and Equality",2021-05-20,Q56403529-48C86899-A7E5-4CC7-99F4-9E97A66007AA
Q58009929,Silvia Calvó i Armengol,Q90333454,"Minister of the Environment, Agriculture, and Sustainability of Andorra",2015-01-01,Q58009929-4AFE25CB-D5BD-4416-AB98-EA8B771BA025
Q65038596,Ester Vilarrubla i Escales,Q67200458,Andorran Minister of Education and Culture,2019-05-22,Q65038596-20EA0368-ABC8-4BAF-BC79-A2B3074B5470
Q65938398,Eric Jover Comas,Q66061766,Minister of Finance,2019-05-22,Q65938398-7628D2D4-D32F-4615-B1C3-3EFEDD63709B
Q88194125,Joan Martínez Benazet,Q88898726,Minister of Health of Andorra,2019-05-22,Q88194125-e5bce7ee-41b0-3832-1752-0c96f6748948
