position,title
Q191954,French Co-Prince
Q49967564,Episcopal Co-Prince
Q634322,Prime Minister
Q63986276,Minister of Civil Service and Reform of the Administration
Q64165272,Minister of Culture and Sport
Q66059884,"Minister of Economy, Competitiveness and Innovation"
Q110095932,Minister of Economy and Agriculture
Q67155336,Minister of Economy and Finance
Q67200458,Minister of Education and Culture
Q90333454,"Minister of the Environment, Agriculture, and Sustainability"
Q66061766,Minister of Finance
Q67153698,"Minister of Finance, Commerce and Industry"
Q4294893,Minister of Foreign Affairs
Q88898726,Minister of Health
Q88900417,"Minister of Health, Social Affairs and Employment"
Q63869694,"Minister of Justice and the Interior"
Q63985662,"Minister of the Presidency, Economy and Business"
Q108500749,Minister of Public Administration and Citizen Participation
Q108500927,"Minister of Social Affairs, Youth and Equality"
Q107981777,Minister of Territorial Management and Housing
Q67187719,Minister of Tourism
Q67132741,Mayor of Andorra la Vella
