position,title
Q40338144,ambassador to Canada
Q99035438,ambassador to France
Q111182637,ambassador to Hungary
Q111203170,ambassador to Ireland
Q111182631,ambassador to Liechtenstein
Q111182626,ambassador to Monaco
Q99037352,ambassador to Portugal
Q111182624,ambassador to San Marino
Q111182634,ambassador to Slovakia
Q28708072,ambassador to Spain
Q111182630,ambassador to Switzerland
Q81069398,ambassador to the Holy See
Q28195929,Permanent Representative to the United Nations
Q28224714,Permanent Representative to the United Nations at Vienna
Q28231404,Permanent Representative to the United Nations at Geneva
Q30080394,ambassador of Andorra
